Lombardia,9266,1183,8461,18910,6075,3776,28761,73242
Emilia Romagna,2846,276,4098,7220,423,892,8535,31200
Veneto,1206,281,3499,4986,327,192,5505,61115
Piemonte,2194,343,1992,4529,17,315,4861,1356
Marche,882,148,1328,2358,8,203,2569,6782
Toscana,838,238,1225,2301,51,109,2461,13851
Liguria,761,133,659,1553,159,212,1924,5538
Lazio,718,96,600,1414,63,63,154,18371
Campania,266,110,553,929,48,49,1026,5813
Friuli V.G.,185,41,545,771,105,54,930,7424
Trento,249,46,619,914,68,41,1023,315
Bolzano,145,33,510,688,7,29,724,6084
Puglia,285,45,532,862,7,37,906,6761
Sicilia,250,60,371,681,27,13,721,6375
Abruzzo,228,52,325,605,20,38,663,3674
Umbria,106,42,408,556,5,16,577,3561
Valle d'Aosta,69,20,290,379,2,12,393,1098
Sardegna,76,18,249,343,5,11,359,2568
Calabria,82,20,178,280,5,7,292,4073
Basilicata,15,12,62,89,,1,90,696
Molise,25,7,18,50,10,7,67,532
TOTALE,20692,3204,26522,50418,7432,6077,63927,275468
