Lombardia,6171,823,3867,10861,2368,1420,14649,43565
Emilia Romagna,1362,197,1529,3088,88,346,3522,13096
Veneto,498,156,1620,2274,130,69,2473,35052
Marche,528,110,547,1185,,57,1242,3225
Piemonte,1045,186,174,1405,,111,1516,5588
Toscana,175,107,559,841,11,14,866,591
Liguria,255,73,247,575,42,50,667,2189
Lazio,267,31,174,472,32,19,523,933
Campania,103,22,238,363,28,9,400,2517
Friuli V.G.,96,19,231,346,18,22,386,4851
Trento,73,19,275,367,5,6,378,1006
Bolzano,53,11,171,235,,6,241,174
Puglia,116,6,90,212,2,16,230,2017
Sicilia,75,20,108,203,8,2,213,2653
Umbria,30,15,114,159,4,1,164,1093
Abruzzo,71,37,57,165,7,4,176,1533
Calabria,36,7,44,87,1,1,89,103
Sardegna,39,,66,105,,2,107,797
Valle d'Aosta,28,5,70,103,,2,105,287
Molise,3,5,7,15,5,1,21,253
Basilicata,1,2,9,12,,,12,230
TOTALE,11025,1851,10197,23073,2749,2158,2798,137962
